lambda	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
100.000000	0.174000	0.353999	1.000005	0.385999	1.000005	0.082000
90.000000	0.192000	0.290000	1.000005	0.381999	1.000005	0.060000
79.999990	0.176000	0.310000	1.000005	0.349999	1.000005	0.038000
70.000000	0.180000	0.312000	1.000005	0.365999	1.000005	0.018000
60.000000	0.182000	0.339999	1.000005	0.361999	1.000005	0.002000
49.999996	0.140000	0.312000	1.000005	0.391999	1.000005	0.000000
40.000000	0.164000	0.333999	1.000005	0.391999	1.000005	0.002000
30.000000	0.196000	0.321999	1.000005	0.337999	1.000005	0.000000
20.000000	0.152000	0.327999	1.000005	0.395999	1.000005	0.000000
