lambda	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
100.000001	0.188000	0.502000	0.984005	1.000005	1.000005	0.282000
89.999987	0.234000	0.508000	0.984005	1.000005	1.000005	0.256000
80.000000	0.196000	0.546000	0.986005	1.000005	1.000005	0.210000
69.999995	0.230000	0.506000	0.988005	1.000005	1.000005	0.202000
59.999995	0.228000	0.532000	0.986005	1.000005	1.000005	0.124000
50.000001	0.214000	0.468000	0.986005	1.000005	1.000005	0.126000
39.999994	0.190000	0.510000	0.986005	1.000005	1.000005	0.104000
30.000001	0.212000	0.548000	0.980005	1.000005	1.000005	0.088000
20.000000	0.250000	0.550000	0.972005	1.000005	1.000005	0.090000
