lambda	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
100.000001	0.034836	0.049020	0.054354	0.054912	0.056220	0.028098
89.999987	0.035166	0.048678	0.054504	0.054132	0.056460	0.027588
80.000000	0.034116	0.047880	0.054378	0.054564	0.056280	0.024222
69.999995	0.036162	0.046512	0.054216	0.054222	0.056580	0.020196
59.999995	0.035406	0.048906	0.054678	0.054708	0.056400	0.014562
50.000001	0.034404	0.048450	0.054528	0.053988	0.056100	0.012894
39.999994	0.033318	0.047310	0.054684	0.054138	0.056520	0.007956
30.000001	0.032070	0.047136	0.054396	0.054078	0.056280	0.005184
20.000000	0.036912	0.048792	0.054522	0.054786	0.055980	0.003558
