lambda	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
100.000000	0.146000	0.350000	1.000000	0.342000	1.000000	0.086000
90.000000	0.208000	0.302000	1.000000	0.352000	1.000000	0.070000
79.999990	0.172000	0.330000	1.000000	0.382000	1.000000	0.042000
70.000000	0.190000	0.304000	1.000000	0.372000	1.000000	0.012000
60.000000	0.158000	0.366000	1.000000	0.364000	1.000000	0.004000
49.999996	0.162000	0.334000	1.000000	0.402000	1.000000	0.000000
40.000000	0.172000	0.300000	0.998000	0.392000	1.000000	0.000000
30.000000	0.176000	0.334000	1.000000	0.334000	1.000000	0.000000
20.000000	0.174000	0.318000	1.000000	0.368000	1.000000	0.000000
