num_intermediate_contexts	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
2.000000	0.010000	0.000000	0.630000	0.670000	0.959999	0.010000
4.000000	0.000000	0.000000	0.859999	0.979999	0.999999	0.000000
6.000000	0.000000	0.000000	0.969999	0.999999	0.999999	0.000000
8.000000	0.000000	0.260000	0.989999	0.999999	0.999999	0.000000
10.000000	0.030000	0.370000	0.999999	0.999999	0.999999	0.020000
12.000000	0.300000	0.610000	0.989999	0.989999	0.999999	0.060000
14.000000	0.510000	0.700000	0.999999	0.999999	0.999999	0.060000
16.000000	0.760000	0.760000	0.999999	0.999999	0.999999	0.030000
18.000000	0.829999	0.750000	0.999999	0.999999	0.999999	0.060000
20.000000	0.899999	0.869999	0.999999	0.999999	0.999999	0.180000
25.000000	0.969999	0.989999	0.999999	0.999999	0.999999	0.150000
50.000000	0.999999	0.999999	0.999999	0.999999	0.999999	0.510000
100.000000	0.999999	0.999999	0.989999	0.999999	0.999999	0.849999
