lambda	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
100.000001	0.234000	0.524000	0.990000	1.000000	1.000000	0.322000
89.999987	0.206000	0.512000	0.988000	1.000000	1.000000	0.216000
80.000000	0.188000	0.542000	0.986000	1.000000	1.000000	0.222000
69.999995	0.224000	0.496000	0.988000	1.000000	1.000000	0.146000
59.999995	0.228000	0.494000	0.994000	1.000000	1.000000	0.156000
50.000001	0.196000	0.496000	0.994000	1.000000	1.000000	0.110000
39.999994	0.258000	0.456000	0.990000	1.000000	1.000000	0.108000
30.000001	0.194000	0.498000	0.984000	1.000000	1.000000	0.094000
20.000000	0.214000	0.490000	0.994000	1.000000	1.000000	0.042000
